requirement_id,product_id,stakeholder_group,user_story,acceptance_criteria,status,validation_state,linked_quality_check,release_target
REQ-DP005-2,DP005,commercial teams,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,In validation,Needs evidence,lineage_owner,Next sprint
REQ-DP005-3,DP005,commercial teams,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Blocked,Needs evidence,freshness_sla,Next sprint
REQ-DP006-1,DP006,football staff,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Blocked,Needs evidence,key_uniqueness,Executive readout
REQ-DP006-2,DP006,football staff,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Ready for build,Scheduled,freshness_sla,Next sprint
REQ-DP006-3,DP006,football staff,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",At risk,Needs evidence,lineage_owner,Next sprint
REQ-DP007-1,DP007,league departments,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,In validation,Needs evidence,schema_drift,Week 1 validation
REQ-DP007-2,DP007,league departments,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",In validation,Scheduled,schema_drift,Week 1 validation
REQ-DP007-3,DP007,league departments,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Blocked,Scheduled,key_uniqueness,Executive readout
REQ-DP008-1,DP008,football staff,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Ready for build,Scheduled,completeness,Next sprint
REQ-DP008-2,DP008,football staff,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Accepted,Accepted,freshness_sla,Club pilot
REQ-DP008-3,DP008,football staff,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Blocked,Pending,freshness_sla,Backlog
REQ-DP009-1,DP009,football staff,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",At risk,Scheduled,completeness,Club pilot
REQ-DP009-2,DP009,football staff,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,In validation,Needs evidence,freshness_sla,Next sprint
REQ-DP009-3,DP009,football staff,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Blocked,Needs evidence,schema_drift,Executive readout
REQ-DP010-1,DP010,commercial teams,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Ready for build,Pending,freshness_sla,Backlog
REQ-DP010-2,DP010,commercial teams,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,In validation,Scheduled,completeness,Club pilot
REQ-DP010-3,DP010,commercial teams,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,In validation,Scheduled,completeness,Week 1 validation
REQ-DP011-1,DP011,football staff,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Blocked,Pending,key_uniqueness,Executive readout
REQ-DP011-2,DP011,football staff,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Blocked,Scheduled,schema_drift,Backlog
REQ-DP011-3,DP011,football staff,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Blocked,Scheduled,key_uniqueness,Club pilot
REQ-DP012-1,DP012,commercial teams,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Ready for build,Pending,lineage_owner,Week 1 validation
REQ-DP012-2,DP012,commercial teams,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Ready for build,Scheduled,schema_drift,Week 1 validation
REQ-DP012-3,DP012,commercial teams,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Blocked,Needs evidence,key_uniqueness,Next sprint
REQ-DP013-1,DP013,football staff,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Accepted,Accepted,completeness,Next sprint
REQ-DP013-2,DP013,football staff,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Ready for build,Scheduled,completeness,Club pilot
REQ-DP013-3,DP013,football staff,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,In validation,Needs evidence,key_uniqueness,Week 1 validation
REQ-DP014-1,DP014,commercial teams,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Accepted,Accepted,key_uniqueness,Week 1 validation
REQ-DP014-2,DP014,commercial teams,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,In validation,Pending,lineage_owner,Club pilot
REQ-DP014-3,DP014,commercial teams,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,At risk,Needs evidence,lineage_owner,Week 1 validation
REQ-DP015-1,DP015,football staff,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Accepted,Accepted,freshness_sla,Backlog
REQ-DP015-2,DP015,football staff,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Ready for build,Needs evidence,key_uniqueness,Next sprint
REQ-DP015-3,DP015,football staff,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Accepted,Accepted,completeness,Executive readout
REQ-DP016-1,DP016,clubs,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Accepted,Accepted,schema_drift,Week 1 validation
REQ-DP016-2,DP016,clubs,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,In validation,Pending,key_uniqueness,Backlog
REQ-DP016-3,DP016,clubs,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Blocked,Scheduled,completeness,Week 1 validation
